filenameNumber,labile,moleculeID,smiles,containsAromaticSystem,labileProtonType,solvent,solventShift,machineFrequency
485,1,dg}H@MLDee[mVD{h@`@@@@,C=1(C(=CN=CN=1)C2(=CC(=CC=C2)CO)),1,OH,CDCl3,7.26,250.131544655141
489,1,fhiP`@JA@IJUuVUteKNjjj@Bh@@,C=1(C=CC(=CC=1)CN)(OCCN2(CCOCC2)),1,NH2,CDCl3,7.26,250.131544655141
490,1,f`qP`@J^@IJUuVUrTlzjjh@J@@@,C=2(C=C(OCCN1(CCOCC1))C=CC=2N),1,NH2,CDCl3,7.26,250.131544655141
492,1,fdyP`@JA@IJUuVUuIRsjjj`@j`@@,C=1(C=C(C=CC=1CNC)OCCN2(CCOCC2)),1,NH,CDCl3,7.26,250.131544655141
493,1,f`a`R@JBdkP@cIDeLhiUHReUTsUUCE@@,C1(CN(C(CS1)C(=O)O)C(=O)OC(C)(C)C),0,OH,DMSO,2.5,250.131544655141
496,1,foAP`@CV@aInUvUxJsf`@`@@@@,C=1(C(=CN=CN=1)C2(=CC=C(C=C2)C(=O)O)),1,OH,DMSO,2.5,250.131544655141
498,1,dg}H@MLDee]eVx{h@H@@@@,C=2(C(C1(=CC=C(C=C1)CO))=CN=CN=2),1,OH,CDCl3,7.26,250.131544655141
499,1,foAp@@@XleJoJzdhkP@P@U@@@,C=1(C(=CN=CN=1)C2(=CC=C(C=C2)CNC)),1,NH,CDCl3,7.26,250.131544655141
500,1,dk]D@BXDrJZJJEIatvijiV@@,C=12(C=CC=CC2(=NN(C=1C(=O)O)C)),1,OH,DMSO,2.5,250.131544655141
511,1,foAp`@EZ\ABS\kkKpUgM@AUJP@@,C=2(C=C(CN1(C=NC=N1))C=CC=2C(=O)O),1,OH,DMSO,2.5,250.131544655141
513,1,dgH@IVpRVUue[cn`@jeH@@,C2(=C(C=CC(CN1(C=NC=N1))=C2)CO),1,OH,CDCl3,7.26,250.131544655141
515,1,fdyP@`LZ@D^d@rDYAJYyU]zqQQjYBBJj`@@,C=2(C=C(C=1(SC=C(N=1)CNC))C=CC=2C(F)(F)F),1,NH,CDCl3,7.26,250.131544655141
528,1,dkm@hDhHchaYCY@yCHheELYFF@bJh@@,C1(C(F)(F)F)(=C(C(Cl)=NC(=C1)Cl)N),1,NH2,CDCl3,7.26,250.131544655141
530,1,dcOD@AePQIeegEVijf`@,C1(=C(N(C)N=C1)N)(C(=O)OCC),1,NH2,CDCl3,7.26,250.131544655141
532,1,dg@PBZpbIbLbbbTTrKJ]pPUEQ@@,C=2(N1(CCNCC1))(C(Cl)=CN=CC=2Cl),1,NH,CDCl3,7.26,250.131544655141
544,1,f`q`b@NBd@HrQQQJJUKXX{uMLpPD@@@,S1(C(C(=O)OC)=C(C=C1C2(=CC=CC=C2))N),1,NH2,CDCl3,7.26,250.131544655141
546,1,do}DIMNwBHFPfPVPNW{HhhdiDgFz@`ji`@@,C=1([N+]([O-])=O)(C=C(C(F)(F)F)C(=CC=1N)Cl),1,NH2,CDCl3,7.26,250.131544655141
547,1,fhi`a@KN|BHDDYEDeeDdeCQbmP@TuSP`@@,S1(C(C(=O)OC)=C(C=C1C2(=CC=C(C=C2)Cl))N),1,NH2,DMSO,2.5,250.131544655141
549,1,dkmDpJ{SBPRPrPrJPqJISijfif`@,N1(C=C(C(C(F)(F)F)=N1)C(=O)O)(C),1,OH,DMSO,2.5,250.131544655141
556,1,fdyPc@J\lxD`bPqHYEHXhihid^JCFjfjA`D@@,N1(N=CC(C(O)=O)=C1(C(F)(F)F))(C=2(C=CC=CC=2)),1,OH,DMSO,2.5,250.131544655141
559,1,deVD`JxPBDiU{pjVfh@@,S1(C=C(C(=C1)N)C(=O)OC),1,NH2,CDCl3,7.26,250.131544655141
560,1,dcLLpAePqDBJqLbbTVTIMSUSR@@,S1(C(C(=O)OC)=C(C(=C1Br)Br)O),1,OH,DMSO,2.5,250.131544655141
563,1,dcuD@LtDrJIJQUMUUV@@,C(OC(C)(C)C)(=O)NCCC#N,0,NH,CDCl3,7.26,250.131544655141
567,1,dg@@@VtjYU_^V]jB`bh@@,N2(C1(=CC=C(C=C1)N))(CCN(CC2)C),1,NH2,CDCl3,7.26,250.131544655141
568,1,deVD`LxPBDig{Jjefh@@,S1(C(N)=C(C=C1)C(OC)=O),1,NH2,CDCl3,7.26,250.131544655141
584,1,dk]D@ILDRY[VtUtvh@ab@@,C(OC)(C=1(C=CC2(=C(C=1)N=CN2)))=O,1,NH,DMSO,2.5,250.131544655141
595,1,dmuD`BZUCDRYfVIijZZ@@,N1(C)(C(=C(Br)C(=N1)C)C(=O)O),1,OH,DMSO,2.5,250.131544655141
596,1,f`qP`@FB@cHihhh]DdpSoMRuP@P@@,N1(C(C)=C(C(O)=O)C(C)=N1)(C2(=CC=CC=C2)),1,OH,DMSO,2.5,250.131544655141
612,1,dmuDaFTYCDZYyIe[fn`BF`@@,[N+](C1(=CC(Br)=CC=C1N))([O-])=O,1,NH2,CDCl3,7.26,250.131544655141
613,1,dg\L`J[`BLdRTQTRQwUMP@@@@,C(=O)(O)CSCCOC1(=CC=CC=C1),1,OH,DMSO,2.5,250.131544655141
624,1,fdep@@@PdeLsK[kdYXOhsUA@@@`@@,N2(C(=CC(C1(=CC=CC=C1))=N2)N)(C3(=CC=CC=C3)),1,NH2,CDCl3,7.26,250.131544655141
626,1,f`qA`@@HHdwJzrkNN|uMW@@`@@,O2(C(=CC=C2(C#CC1(=CC=CC=C1)))C(O)=O),1,OH,DMSO,2.5,250.131544655141
629,1,deTL`JFPBDiUVpjVih@@,S1(C=C(OC)C(C(O)=O)=C1),1,OH,DMSO,2.5,250.131544655141
631,1,fdea@@B@RYvYeU|DlGtZjh@@@`@@,N1(CC(C1)O)(C(C2(=CC=CC=C2))C=3(C=CC=CC=3)),1,OH,CDCl3,7.26,250.131544655141
637,1,dgD@FFPSHihheBdJz[STtmP@@,C1(=C(C)N2(C(N=C1)=CC(=N2)C))(C(=O)O),1,OH,DMSO,2.5,250.131544655141
640,1,difH@FAIVUxZ`@@@,N1(=CC(CCO)=CC=C1),1,OH,CDCl3,7.26,250.131544655141
652,1,foA@P@@HeYImfU}yKQfjP`J`@@,C1(=C(C=C2(OC=C(C2(=C1))CC(O)=O))OC),1,OH,DMSO,2.5,250.131544655141
656,1,dk_D`DH]LHaIe[]jXYffefh@@,C=2(N1(C(C=CC(=N1)Cl)=NC=2(C(O)=O))),1,OH,DMSO,2.5,250.131544655141
657,1,dmvH@IAJ[WUnh@J`@@,C1(=CC=C(C=C1)CNC)(OC),1,NH,CDCl3,7.26,250.131544655141
658,1,dkn@pMBPRPrPrJPqIPhYj`@j@@,C(C=1(C=C(CNC)C=CC=1))(F)(F)F,1,NH,CDCl3,7.26,250.131544655141
659,1,deV@`ABHRYWVf`@j@@,C=1(Cl)(C=CC(=CC=1)CNC),1,NH,CDCl3,7.26,250.131544655141
661,1,die@@@yJUuJ`@j@@,N1(=CC=C(C=C1)CNC),1,NH,CDCl3,7.26,250.131544655141
672,1,foA`a@IV\BHDDILk]nuNJu@DSTp`@@,S2(C=C(N=C2(C1(=CC(=CC=C1)Cl)))C(=O)O),1,OH,DMSO,2.5,250.131544655141
678,1,dmuH@JDDiWVbjjjj`@,CC(C)(CN1(CCOCC1))N,0,NH2,CDCl3,7.26,250.131544655141
681,1,deU@`FDLQIVYfFjVj@@,N1(N=C(C)C(=C1(C))CCBr),1,NH,CDCl3,7.26,250.131544655141
684,1,dklD`MLLQIe]UjZ@BjX@@,C1(=CC=C(CCCC(O)=O)C=C1)(Br),1,OH,DMSO,2.5,250.131544655141
687,1,defD`DJ`BDfyUZjj@@,O(CC)C(C(N)=S)OCC,0,NH2,DMSO,2.5,250.131544655141
690,1,dg}D@FxDrJZJIJECIvtAAUD@@,N2(C1(=NC=CC=C1(C(O)=O)))(CCCC2),1,OH,DMSO,2.5,250.131544655141
696,1,dg|D`Cl@aJUyW[BeZV@BZ@@,C(=O)(C1(=CC=C(C=C1)C2(=CSC=C2)))O,1,OH,DMSO,2.5,250.131544655141
710,1,fdy```LZL@H}HAdHrFRJKQIJJjSEEVidHFJj@@@,S2(C(C1(=CC=C(C=C1)C(F)(F)F))=NC(C(O)=O)=C2),1,OH,DMSO,2.5,250.131544655141
722,1,daEH`D[`bDfUZZ@B@@,N1(=C(C=C(N=C1)Cl)O),1,OH,DMSO,2.5,250.131544655141
725,1,deuH@JdDie]rnF`PJ@@,C1(=C(C=C2(C(=C1)N=CO2))N),1,NH2,DMSO,2.5,250.131544655141
726,1,foQq@@AR\CIEDehXdlTxJsjA@jjb@@,C1(=CN=C(C2(=C1OC=C2))N3(CCNCC3)),1,NH,CDCl3,7.26,250.131544655141
731,1,dcnD`BWPqDfYVuixXHJEH@@,C1(=CC=C2(C(=C1Br)NC(C2=O)=O)),1,NH,DMSO,2.5,250.131544655141
732,1,dclD@@UJYf]hYv`hbHaJ@@,C1(=CC=C2(OC(CCC2(=C1))CO)),1,OH,CDCl3,7.26,250.131544655141
